,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
spanischen,spanischen,MISC,,,de,1,,,,,,
Heizungsrohre,Heizungsrohre,MISC,,,de,1,,,,,,
brasilianische,brasilianische,MISC,,,de,1,,,,,,
Stillen,Stillen,MISC,,,de,1,,,,,,
Jetz...,Jetz...,MISC,,,de,1,,,,,,
Heartland,Heartland,MISC,,,de,1,,,,,,
Münchner,Münchner,MISC,,,de,1,,,,,,
Heartland“,Heartland“,MISC,,,de,1,,,,,,
Klimaziele“,Klimaziele“,MISC,,,de,1,,,,,,
F.A.Z.-Leser,F.A.Z.-Leser,MISC,,,de,1,,,,,,
hessische,hessische,MISC,,,de,1,,,,,,
französischen,französischen,MISC,,,de,1,,,,,,
Mill…,Mill…,MISC,,,de,1,,,,,,
Wi…,Wi…,MISC,,,de,1,,,,,,
griechischen,griechischen,MISC,,,de,1,,,,,,
Trinkwasser-Sicherungsplan,Trinkwasser-Sicherungsplan,MISC,,,de,1,,,,,,
Si…,Si…,MISC,,,de,1,,,,,,
Nachrichtenagentur I…,Nachrichtenagentur I…,MISC,,,de,1,,,,,,
Wasserinfrastruktur,Wasserinfrastruktur,MISC,,,de,1,,,,,,
iranische,iranische,MISC,,,de,1,,,,,,
Teheran,Teheran,MISC,0.0,0.0,de,1,,,,,,
Kabinett“,Kabinett“,MISC,,,de,1,,,,,,
UN im Jahr 2023,UN im Jahr 2023,MISC,,,de,1,,,,,,
Baumgutachten,Baumgutachten,MISC,,,de,1,,,,,,
das Jahr aus Sicht,das Jahr aus Sicht,MISC,,,de,1,,,,,,
Dürre im Iran,Dürre im Iran,MISC,,,de,1,,,,,,
Trotz Regens,Trotz Regens,MISC,,,de,1,,,,,,
Kli…,Kli…,MISC,,,de,1,,,,,,
Tages,Tages,MISC,,,de,1,,,,,,
Monaten des Jahres 2025,Monaten des Jahres 2025,MISC,,,de,1,,,,,,
Der Ablasshandel des Westens,Der Ablasshandel des Westens,MISC,,,de,1,,,,,,
Cou…,Cou…,MISC,,,de,1,,,,,,
Was… Kopiere,Was… Kopiere,MISC,,,de,1,,,,,,
Kriege,Kriege,MISC,,,de,1,,,,,,
Judentum,Judentum,MISC,,,de,1,,,,,,
CO2-freien,CO2-freien,MISC,,,de,1,,,,,,
Bürgerkrieg,Bürgerkrieg,MISC,,,de,1,,,,,,
Getränke-Produktion,Getränke-Produktion,MISC,-0.2333333333333333,0.0,de,1,,,,,,
Der Wasserverbrauch,Der Wasserverbrauch,MISC,,,de,1,,,,,,
Baruth“,Baruth“,MISC,,,de,1,,,,,,
Wasserverbrauch“,Wasserverbrauch“,MISC,,,de,1,,,,,,
Das Thema Klimawandel,Das Thema Klimawandel,MISC,,,de,1,,,,,,
Adobe Stock,Adobe Stock,MISC,,,de,1,,,,,,
20Millionen,20Millionen,MISC,,,de,1,,,,,,
Widerstand gegen…,Widerstand gegen…,MISC,,,de,1,,,,,,
Hitze-Perioden,Hitze-Perioden,MISC,0.0,0.0,de,1,,,,,,
europäische,europäische,MISC,,,de,1,,,,,,
Juden,Juden,MISC,,,de,1,,,,,,
R…,R…,MISC,,,de,1,,,,,,
Zeit der großen Dürre,Zeit der großen Dürre,MISC,,,de,1,,,,,,
Sepia100,Sepia100,MISC,,,de,1,,,,,,
südeuropäische,südeuropäische,MISC,,,de,1,,,,,,
CO2-Anstieg,CO2-Anstieg,MISC,,,de,1,,,,,,
TTS Player,TTS Player,MISC,,,de,1,,,,,,
’s,’s,MISC,,,de,1,,,,,,
Hygiene,Hygiene,MISC,,,de,1,,,,,,
Händewaschen,Händewaschen,MISC,0.0,0.0,de,1,,,,,,
Krankheitserreger,Krankheitserreger,MISC,,,de,1,,,,,,
Händewaschen“,Händewaschen“,MISC,,,de,1,,,,,,
Keim-Hotspots,Keim-Hotspots,MISC,,,de,1,,,,,,
Online-Abo,Online-Abo,MISC,,,de,1,,,,,,
Ein Jahr „ohne Dürre“,Ein Jahr „ohne Dürre“,MISC,,,de,1,,,,,,
Mut,Mut,MISC,,,de,1,,,,,,
RSF,RSF,MISC,,,de,1,,,,,,
Umweltschutz“,Umweltschutz“,MISC,,,de,1,,,,,,
Fauna“,Fauna“,MISC,,,de,1,,,,,,
Frankfurter,Frankfurter,MISC,,,de,1,,,,,,
Waipu.tv,Waipu.tv,MISC,,,de,1,,,,,,
Zeit,Zeit,MISC,,,de,1,,,,,,
Liebe in Zeiten der Dürre,Liebe in Zeiten der Dürre,MISC,,,de,1,,,,,,
No Way Home“,No Way Home“,MISC,,,de,1,,,,,,
Boyles Roman,Boyles Roman,MISC,,,de,1,,,,,,
Obe…,Obe…,MISC,,,de,1,,,,,,
Gletsc…,Gletsc…,MISC,,,de,1,,,,,,
Umweltkrise,Umweltkrise,MISC,,,de,1,,,,,,
EU-Bericht,EU-Bericht,MISC,,,de,1,,,,,,
MV,MV,MISC,0.0,0.0,de,1,,,,,,
Grundwas…,Grundwas…,MISC,,,de,1,,,,,,
Gefährlicher Trend,Gefährlicher Trend,MISC,,,de,1,,,,,,
Baumbestand in Deutschland,Baumbestand in Deutschland,MISC,,,de,1,,,,,,
Kampfmittelbes…,Kampfmittelbes…,MISC,,,de,1,,,,,,
Kampfmittelbeseitiger,Kampfmittelbeseitiger,MISC,,,de,1,,,,,,
Drastischer CO2-Anstieg,Drastischer CO2-Anstieg,MISC,,,de,1,,,,,,
Der Schloss…,Der Schloss…,MISC,,,de,1,,,,,,
Historische Parkanlage“,Historische Parkanlage“,MISC,,,de,1,,,,,,
Durstige KI,Durstige KI,MISC,,,de,1,,,,,,
Online-TV-Anbieter waipu.tv,Online-TV-Anbieter waipu.tv,MISC,,,de,1,,,,,,
TV,TV,MISC,,,de,1,,,,,,
Euro,Euro,MISC,,,de,1,,,,,,
Zwei Jahre nach dem,Zwei Jahre nach dem,MISC,,,de,1,,,,,,
Nuss-Nougat-Aufstrichs,Nuss-Nougat-Aufstrichs,MISC,-0.5666666666666667,0.3333333333333333,de,1,,,,,,
bayerische,bayerische,MISC,,,de,1,,,,,,
Klimaflucht,Klimaflucht,MISC,,,de,1,,,,,,
Sie tauschen Klassenzimmer,Sie tauschen Klassenzimmer,MISC,,,de,1,,,,,,
See“,See“,MISC,,,de,1,,,,,,
Das segelnde Klassenzimmer,Das segelnde Klassenzimmer,MISC,,,de,1,,,,,,
Energiekoste…,Energiekoste…,MISC,,,de,1,,,,,,
Sternenkrieg passé,Sternenkrieg passé,MISC,,,de,1,,,,,,
Sieben Jahre ohne Star Wars,Sieben Jahre ohne Star Wars,MISC,,,de,1,,,,,,
"Dukas
","Dukas
",MISC,,,de,1,,,,,,
chinesischen,chinesischen,MISC,,,de,1,,,,,,
Bose,Bose,MISC,,,de,1,,,,,,
H…,H…,MISC,,,de,1,,,,,,
Olivenfruchtfliege,Olivenfruchtfliege,MISC,,,de,1,,,,,,
Olivenernte,Olivenernte,MISC,,,de,1,,,,,,
Fok…,Fok…,MISC,,,de,1,,,,,,
FOCUS-online-Artikel,FOCUS-online-Artikel,MISC,,,de,1,,,,,,
Ukraine-Krieg,Ukraine-Krieg,MISC,,,de,1,,,,,,
Pandemie“,Pandemie“,MISC,,,de,1,,,,,,
Potenzial wä…,Potenzial wä…,MISC,,,de,1,,,,,,
EVP-geführte Mehrheit,EVP-geführte Mehrheit,MISC,,,de,1,,,,,,
EU-Waldgesetz,EU-Waldgesetz,MISC,,,de,1,,,,,,
Klimaschutz“,Klimaschutz“,MISC,,,de,1,,,,,,
Regenausfall,Regenausfall,MISC,,,de,1,,,,,,
KI-Kontinent“,KI-Kontinent“,MISC,,,de,1,,,,,,
Die Übung,Die Übung,MISC,,,de,1,,,,,,
